,base,system,calc,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
12,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-SE,-0.026880131799954625,-0.026880137799954636,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
13,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-SE,-0.01921802839999861,-0.019259050899998603,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
14,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-SE,-0.026880452600101933,-0.02688045270010194,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
15,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-SE,-0.026880454399917396,-0.026880454399917403,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
16,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-SE,-0.02688045489993446,-0.02688045489993445,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
17,/home/ricardi/NEG_GS,7HQ_2MeOH,FT16-SE,-0.026880454299945823,-0.026880454299945823,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
18,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-SE,-0.02688045269992969,,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
19,/home/ricardi/NEG_GS,7HQ_formate,FT2-ME,-0.05337190659996555,-0.05335833879996556,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
20,/home/ricardi/NEG_GS,7HQ_formate,FT6-ME,-0.05355602300004758,-0.0535560201000476,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
21,/home/ricardi/NEG_GS,7HQ_formate,FT0-ME,-0.03686611019998074,-0.03677898099998073,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
22,/home/ricardi/NEG_GS,7HQ_formate,FT4-ME,-0.053552763299999556,-0.053552561199999564,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
23,/home/ricardi/NEG_GS,7HQ_formate,FT8-ME,-0.05355593229992905,-0.05355593219992905,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
24,/home/ricardi/NEG_GS,7HQ_formate,FT10-ME,-0.053555917500038644,-0.053555917600038645,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
25,/home/ricardi/NEG_GS,7HQ_formate,FT14-ME,-0.05355591660002016,-0.05355591670002016,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
26,/home/ricardi/NEG_GS,7HQ_formate,FT18-ME,-0.053555920999926565,-0.053555920999926565,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
27,/home/ricardi/NEG_GS,7HQ_formate,FT12-ME,-0.05355592369999266,-0.05355592379999266,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
28,/home/ricardi/NEG_GS,7HQ_formate,FT16-ME,-0.05355592059998513,-0.05355592049998513,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
29,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,-0.05355591960001527,,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
30,/home/ricardi/NEG_GS,7HQ_formate,FT8-SE,-0.061146592499963,-0.061146587299962994,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
31,/home/ricardi/NEG_GS,7HQ_formate,FT6-SE,-0.061144271499936675,-0.06114416789993667,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
32,/home/ricardi/NEG_GS,7HQ_formate,FT2-SE,-0.06039558039999914,-0.06035449869999915,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
33,/home/ricardi/NEG_GS,7HQ_formate,FT4-SE,-0.06111135810003547,-0.06110930730003548,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
34,/home/ricardi/NEG_GS,7HQ_formate,FT0-SE,-0.03692236000002809,-0.03684400910002811,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
35,/home/ricardi/NEG_GS,7HQ_formate,FT12-SE,-0.06114673870000367,-0.06114673880000367,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
36,/home/ricardi/NEG_GS,7HQ_formate,FT22-SE,-0.061146745300020455,-0.06114674530002046,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
37,/home/ricardi/NEG_GS,7HQ_formate,FT18-SE,-0.061146747499976034,-0.06114674749997604,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
38,/home/ricardi/NEG_GS,7HQ_formate,FT20-SE,-0.06114675020004359,-0.06114675020004359,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
39,/home/ricardi/NEG_GS,7HQ_formate,FT24-SE,-0.06114674640001531,-0.06114674640001531,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
40,/home/ricardi/NEG_GS,7HQ_formate,FT26-SE,-0.06114674660002244,-0.06114674670002244,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
41,/home/ricardi/NEG_GS,7HQ_formate,FT14-SE,-0.06114674970001882,-0.061146749700018814,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
42,/home/ricardi/NEG_GS,7HQ_formate,FT10-SE,-0.06114672370004493,-0.06114672340004493,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
43,/home/ricardi/NEG_GS,7HQ_formate,FT16-SE,-0.06114674710001145,-0.06114674710001145,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
44,/home/ricardi/NEG_GS,7HQ_formate,FT-SE,-0.06114674569999217,,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
45,/home/ricardi/NEG_GS,Uracil_5H2O,FT6-ME,-0.0739821698999438,-0.07398216979994378,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
46,/home/ricardi/NEG_GS,Uracil_5H2O,FT8-ME,-0.07398216960013129,-0.07398216960013128,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
47,/home/ricardi/NEG_GS,Uracil_5H2O,FT2-ME,-0.07394713730005438,-0.07394803200005437,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
48,/home/ricardi/NEG_GS,Uracil_5H2O,FT4-ME,-0.0739820920000589,-0.07398209190005889,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
49,/home/ricardi/NEG_GS,Uracil_5H2O,FT0-ME,-0.05822151579991379,-0.05826686639991377,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
50,/home/ricardi/NEG_GS,Uracil_5H2O,FT12-ME,-0.07398217290003532,-0.07398217300003529,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
51,/home/ricardi/NEG_GS,Uracil_5H2O,FT10-ME,-0.07398217100011144,-0.07398217100011147,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
52,/home/ricardi/NEG_GS,Uracil_5H2O,FT14-ME,-0.0739821731999412,-0.07398217309994119,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
53,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-0.07398217409994305,,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
54,/home/ricardi/NEG_GS,Uracil_5H2O,FT4-SE,-0.07695177520002852,-0.07695177160002853,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
55,/home/ricardi/NEG_GS,Uracil_5H2O,FT0-SE,-0.058469235999985755,-0.05853210689998575,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
56,/home/ricardi/NEG_GS,Uracil_5H2O,FT2-SE,-0.07687795890004648,-0.07687932080004646,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
57,/home/ricardi/NEG_GS,Uracil_5H2O,FT6-SE,-0.07695217810005947,-0.07695217810005947,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
58,/home/ricardi/NEG_GS,Uracil_5H2O,FT8-SE,-0.07695218770004232,-0.07695218760004233,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
59,/home/ricardi/NEG_GS,Uracil_5H2O,FT14-SE,-0.07695218599994429,-0.0769521859999443,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
