,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
63,/home/ricardi/NEG_GS,XVI_2HCOOH,FT6-MC-ME,-32.26730753581908,1.0451246980594933,-41.842236318902,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
64,/home/ricardi/NEG_GS,XVI_2HCOOH,FT0-MC-ME,-25.63457095661177,0.34556060165729136,-30.606392309661956,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
65,/home/ricardi/NEG_GS,XVI_2HCOOH,FT2-MC-ME,-32.375994820480464,1.0484914321524572,-41.80303915579962,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
66,/home/ricardi/NEG_GS,XVI_2HCOOH,FT8-MC-ME,-32.266690574888976,1.045100045048169,-41.84235052446739,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
67,/home/ricardi/NEG_GS,XVI_2HCOOH,FT14-MC-ME,-32.266637801821,1.0450977930722987,-41.842361882206305,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
68,/home/ricardi/NEG_GS,XVI_2HCOOH,FT10-MC-ME,-32.266642131624046,1.0450979785119259,-41.8423610037343,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
69,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,-32.266637613629165,1.0450977915904307,-41.842361756764774,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
70,/home/ricardi/NEG_GS,XVI_2HCOOH,FT4-MC-SE,-34.75348954455793,1.1738299011400475,-43.97994733765245,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
71,/home/ricardi/NEG_GS,XVI_2HCOOH,FT6-MC-SE,-34.74756585354201,1.1741999933585912,-43.98588985386704,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
72,/home/ricardi/NEG_GS,XVI_2HCOOH,FT8-MC-SE,-34.746804817775136,1.174239148743403,-43.98643352233789,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
73,/home/ricardi/NEG_GS,XVI_2HCOOH,FT16-MC-SE,-34.74671037880362,1.1742440666353018,-43.98651026618472,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
74,/home/ricardi/NEG_GS,XVI_2HCOOH,FT14-MC-SE,-34.746710441546135,1.1742440598798736,-43.98651007792601,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
75,/home/ricardi/NEG_GS,XVI_2HCOOH,FT0-MC-SE,-26.78820234089485,0.3843518656110104,-31.56210931049543,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
76,/home/ricardi/NEG_GS,XVI_2HCOOH,FT2-MC-SE,-34.822466368673744,1.1703892733750667,-43.910023611705036,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
77,/home/ricardi/NEG_GS,XVI_2HCOOH,FT12-MC-SE,-34.746711571019375,1.174244000700008,-43.986509136639334,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
78,/home/ricardi/NEG_GS,XVI_2HCOOH,FT10-MC-SE,-34.74672142279764,1.1742434989767685,-43.986501292832926,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
79,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-SE,-34.746710190504764,1.1742440672907912,-43.98651014063618,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
